muni,brgy,id,x,y,oam,web,
Alang Alang,Aslum,101,124.8855507,11.1688658,https://tiles.openaerialmap.org/594aaeb31b11460011119497/0/e720507d-dc37-4101-987a-3c8b69d1fc8f/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.88708496093749,11.162234574919237,13/132330001100113/594ab18ab0eae7f3b1440001?_k=z2woyb",
Alang Alang,Astorga,102,124.8592758,11.15417164,https://tiles.openaerialmap.org/594aaef31b11460011119499/0/a7975efd-1cf1-46e9-a889-7ce0c6c039dd/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.8702621459961,11.157182109373023,11/1323300011001/594ab645b0eae7f3b1440004?_k=neraif",
Alang Alang,Hubang,103,124.8427749,11.23291775,https://tiles.openaerialmap.org/594dacba1b114600111194ba/0/5b3a66ef-4f72-495c-9f81-e1b8b671b5f1/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.85253810882568,11.226540556242751,15/1323122233220/594db958b0eae7f3b1440010?_k=agqsii",
Alang Alang,Penalosa,104,124.8534822,11.16991836,https://tiles.openaerialmap.org/594b178c1b114600111194aa/0/e50ab2bf-9269-44ee-8888-6fef0172a211/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.8491907119751,11.163645039189106,15/132330001/594b1fa5b0eae7f3b144000b?_k=phckwq",
Alang Alang,Santiago,105,124.8091078,11.19900966,,,
Mayorga,Burgos,115,124.9844599,10.88266016,https://tiles.openaerialmap.org/594ab0ba1b114600111194a3/0/d66720c4-148c-4e11-9d54-4ae2a6ba6351/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.99274253845215,10.880826911001233,15/1323300011320/594abaeab0eae7f3b1440007?_k=la03r6",
Mayorga,San Roque,116,125.0097799,10.89113089,,,
Mayorga,Talisay,117,124.9766707,10.91845895,,,
Mayorga,Union,118,124.9950171,10.85695149,https://tiles.openaerialmap.org/59666fafd32be800103d8716/0/e15ff2f6-39f9-4041-88cf-341324b3cd50/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/125.00694751739503,10.854506940976382,15/1323300011322/59667ac1b0eae7f3b1440039?_k=ibbglf",
Mayorga,Wilson,119,124.9657488,10.8515566,https://tiles.openaerialmap.org/59639adcd32be800103d8710/0/303799ed-4897-4101-8c65-e448c63cbc23/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.97467517852782,10.849491343257862,16/1323300011233/5963a6b5b0eae7f3b1440036?_k=5ahddj",
McArthur,Burabod,106,124.9362659,10.83908055,https://tiles.openaerialmap.org/594aaf631b1146001111949b/0/f46be9d1-beb2-4629-a9fa-d0ff97e9e59e/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.94050125579201,10.836376358996,10/1323300011233/594ab645b0eae7f3b1440005?_k=ghs12b",
MacArthur,Danao,107,124.9689674,10.80649706,https://tiles.openaerialmap.org/594aaf981b1146001111949d/0/8852487c-75ea-4f7b-a017-d50814d91ca1/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.97087717056273,10.807835453170537,16/1323300013011/594ab644b0eae7f3b1440003?_k=l8my4k",
MacArthur,Kiling,108,124.9121475,10.82951241,https://tiles.openaerialmap.org/594ab0231b1146001111949f/0/c0e49b23-c093-4087-96e0-bb476460d0bc/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.9212884902954,10.82464392778345,15/1323300013010/594ab3e8b0eae7f3b1440002?_k=uj4m53",
MacArthur,Lanawan,109,124.859587,10.85667753,http://tiles.openaerialmap.org/59132868d4280a0010309027/0/10555a85-da46-4333-bc63-6f7dcb8fdec1/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.8486328125,10.877139304870054,10/132330001122/59132a9ab0eae7f3b143ffc9?_k=urdflg",
MacArthur,Oguisan,110,124.8630738,10.82329507,https://tiles.openaerialmap.org/591787471acd6100118dd51b/0/2e633d6e-1f7f-4064-9108-a6ae1ba7ff6e/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.87060546874999,10.812061371478986,11/1323300013001/5917889bb0eae7f3b143ffd9?_k=tnl0or",
MacArthur,San Antonio,111,124.8922348,10.82767884,https://tiles.openaerialmap.org/594b17db1b114600111194ac/0/977ee173-a9fd-4e64-85b6-5ac6404b7179/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.89444494247437,10.827963358354,17/1323300013001/594b18a7b0eae7f3b1440009?_k=2r92td",
MacArthur,San Isidro,112,124.9916267,10.8351606,https://tiles.openaerialmap.org/591cef01e407d700113860fd/0/16c619ae-fb12-4c6b-9deb-a07d1a744da5/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/125.00351428985594,10.838996248930247,14/1323300011322/591cf669b0eae7f3b143ffe0?_k=pk492t",
MacArthur,Sta. Isabel,113,124.8935008,10.8314092,https://tiles.openaerialmap.org/594b185c1b114600111194ae/0/ff34e2cf-2103-4df4-b5f8-43dd6827351d/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.90086078643797,10.829428111259077,15/1323300013001/594b1b02b0eae7f3b144000a?_k=w9v8vy",
MacArthur,Villa Imelda,114,124.9729586,10.79359757,https://tiles.openaerialmap.org/5936faa6e407d70011386114/0/660c5321-0334-471f-bca5-829d85fb1d40/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.97700333595274,10.792691212510041,16/13233000130113321/5936feb3b0eae7f3b143ffe8?_k=qmkwtp",
Tacloban,Marasbaras 79,120,125.0105524,11.20335627,https://tiles.openaerialmap.org/596649d2d32be800103d8714/0/15614c1b-b143-4234-b625-19fd5891430c/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/125.01479029655455,11.205187503119303,16/1323122233322/59665081b0eae7f3b1440038?_k=jkedw6",
Tacloban,Palanog 37A,122,124.9538398,11.25552093,https://tiles.openaerialmap.org/594ab0651b114600111194a1/0/36a6eda3-3754-4f70-9006-230b8c024569/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.9533740738798,11.254460091736817,17/1323122233231/594ab645b0eae7f3b1440006?_k=6o9hxf",
Tacloban,San Paglaum 103A,124,124.9208808,11.25830938,https://tiles.openaerialmap.org/594bd7e21b114600111194b2/0/b89129f3-030d-433d-9fd6-2d25def4faef/{z}/{x}/{y}.png,"https://map.openaerialmap.org/#/124.95124340057373,11.260108696912601,14/1323122233/594bdfdeb0eae7f3b144000d?_k=1ed0ri",